Study	Link	Species	General microscopy method	Visualization method specifics	PMI range	Longest PMI reported	Sample size	Brain region	Disease studied, if any recorded	Structural Feature	Outcome	Relevant text	Any significant/substantial correlation of a feature with PMI reported? 
Albrechtsen 1977a	https://pubmed.ncbi.nlm.nih.gov/23648/	Human	Light microscopy	Morphological staining with H&E; histochemical staining for naphthylamidase	9 to 271 hours	271 hours	70	Cerebellum	Multiple conditions	Histochemistry for naphthylamidase	No reported association between PMI and histochemical appearance of naphthylamidase (LNAse). Low pH is associated with necrosis of the granule layer. 	"The distribution of LNAse activity was the same in all normal cerebella (49 cases)" ... "Regardless of the cause of death LNAse activity was found in all cases throughout the granular layer without any demonstrable variation in the loss of activity in the central and peripheral parts. No cases were found without enzyme activity." ... "[T]he LNAse activity was preserved with unchanged activity even many hours after death. Lysosomal enzymes similarly share a n unusual resistance to autolysis"	No
Albrechtsen 1977b	https://pubmed.ncbi.nlm.nih.gov/848288/	Human	Light microscopy	Morphological staining, for example with H&E	6 to 83 or more hours (83 hours is the highest PMI listed, but the full range not reported)	83 hours	1000	Cerebellum	Not recorded	Presence and severity of necrosis of granule cell layer of the cerebellum	Seems to be a tendency for an increase in degree of granule cell necrosis with increasing PMI, but it is not statistically significant. Note that necrosis is mostly graded based on properties of the cell nuclei. 	"Table 4 shows the incidence of necrosis according to severity, related to the interval between death and autopsy. There would seem to be a tendency for increased number of necroses with ioncreasing interval, but the difference is not statistically significant."	Yes
Ansari 1976a	https://pubmed.ncbi.nlm.nih.gov/57210/	Human	Electron microscopy 	Staining with osmium tetroxide, uranyl acetate, and lead citrate	8 to 48 hours, compared to biopsy tissue	48 hours	7	Frontal lobe white matter	Not recorded	Myelin	Increase in myelin lamellae splitting during the PMI with no break in continuity.	"On electron microscopic examination, unfrozen white matter obtained at autopsy (8 h post-mortem) showed lamellar separation similar to that described in cerebral edema (14). This observation of post-mortem lamellar separation secondary to edema is consistent with the reported increase in water content of the brain (approximately 10%) that occurs during the time interval between death and autopsy (3). This unfrozen autopsy material, however, showed no break in the continuity of the separated myelin lamellae."	Yes
Arnold 1995	https://pubmed.ncbi.nlm.nih.gov/7726314/	Human	Light microscopy	Morphological staining with cresyl violet	4 to 30 hours	30 hours	24	Multiple brain regions	Schizophrenia 	General neuronal morphology	No significant correlation between PMI and neuron size in multiple brain regions. 		No
Beach 1988	https://pubmed.ncbi.nlm.nih.gov/2452934/	Human	Light microscopy	Horseradish peroxidase filling	3 to 11 hours	11 hours	3	White matter underlying the cerebral cortex	Clinical diagnosis of dementia	Neuronal morphology	Worse labeling with horseradish peroxidase at PMIs of longer than 8 hours. However, no loss of structural integrity under light microscopy at the longer PMIs. 	"In both cortical and brainstem preparations, postmortem intervals longer than 8 h resulted in less extensive labelling." ... "This may be due to loss of structural integrity within the tissue, although this was not evident at the light microscopic level. In fact, tissue morphology was very good throughout these blocks."	Yes
Bédard 2004	https://pubmed.ncbi.nlm.nih.gov/15246702/	Human	Light microscopy	Confocal microscopy, immunostained for markers or proliferation and immature neuronal state	4 to 24 hours	24 hours	10	Olfactory bulb	No "clinical or pathological signs of neurological or psychiatric disorders"	General neuronal immunostaining	No major difference found resulting from the PMI range. 	"[D]espite significant inter-individuals variations with regard to age, postmortem delay and cause of death, the overall immunostaining pattern of the olfactory bulb was found to be strikingly similar in the 10 human subjects used in the present study."	No
Benes 1991	https://pubmed.ncbi.nlm.nih.gov/1805353/	Human	Light microscopy	Nissl staining	Mean 13.9 ± 2.8 (control group); 32.8 ± 19.5 (schizophrenia and no mood disturbance group); 34.5 ± 14.8 (schizophrenia and mood disturbance group)	Not recorded	23	Hippocampus	Schizophrenia 	Neuronal morphology	No significant correlation between PMI and neuron size. 	Table 6	No
Benes 1992	https://pubmed.ncbi.nlm.nih.gov/1282404/	Human	Light microscopy	Glutamate immunoreactivity of vertical fibers	Mean 19.1 ± 32.9 hours (control group); 19.6 ± 20.1 hours (schizophrenia group) 	Not recorded	32	Anterior cingulate cortex	Schizophrenia 	Neuronal processes	No significant correlation between PMI and fiber density. 	"The postmortem interval was similar for the control and schizophrenic groups, as were the fixation interval and the hypoxia index. The age of the schizophrenic subjects (48.5 ± 23.0 years), however, was lower than that for the control cases. Simple linear regression analyses indicated that there was not a significant relationship between any of the confounding variables and either small- or large-caliber glutamate-immunoreactive fibers (Table 2), suggesting that these factors, particularly age, do not account for the differences in fiber density observed in the schizophrenic group"	No
Benes 2001a	https://pubmed.ncbi.nlm.nih.gov/11732702/	Human	Light microscopy	GluR5,6,7 immunostaining	4.5 to 74.6 hours	74.6 hours	39	Hippocampus	Schizophrenia	Dendrite morphology	No significant correlation between PMI and pyramidal cell dendritic density.	"The potential confounding effects of age and PMI do not appear to account for the differences in IR dendrites noted in the schizophrenic group, because all three groups were matched with respect to both of these variables. Moreover, there were no significant correlations between these two variables and the density of IR dendrites in each of these sectors."	No
Benes 2001b	https://pubmed.ncbi.nlm.nih.gov/11566156/	Human 	Light microscopy	Nissl staining	1.9 to 66.5 hours	66.5 hours	33	Anterior cingulate cortex	Schizophrenia and bipolar disorder	Cellular morphology	No correlation between PMI and morphologically-identified cell density across groups. Subgroup correlations were found (PMI is positively associated with non-pyramidal neuron density in the bipolar group and negatively associated with glial density in layer II in the control group); however, there was no adjustment for multiple comparisons. 	"When the three groups were combined, correlation analyses revealed that there were no significant relationships of age or PMI with the density of PNs, NPs, or glial cells in any of the layers. Similarly, when the data were broken down according to diagnostic groups, there were also no significant relationships between these two potential confounds and the density of PNs and NPs in the schizophrenic subjects. For the PMI, the density of glial cells in the control subjects showed a significant negative correlation in layer II (r = −.57; p = .05). For the bipolar group, however, there was a significant positive correlation (r = .80; p = .007) between the density of NPs and PMI."	Yes
