Study	Link:	Publication Year:	Species:	Temperature:	Brain Location (In situ vs ex situ vs other):	Initial preservation:	General microscopy method:	Immunostaining primarily:	Visualization method specifics:	Brain Region:	Cell Type:	Time Point:	Structural Feature:	Additional outcome specifier, if any:	Decomposition outcome:	Pilot Round?	Pilot Grade:	Decomposition Grade - Grader 1:	Decomposition Grade - Grader 2:	Random choice for multiple grades from grader 2:	Decomposition Grade - Grader 3:	Consensus grade:
Airaksinen 1991	https://pubmed.ncbi.nlm.nih.gov/1719449/	1991	Rat	2 hours at RT, then stored at 4°C	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for histamine	Not recorded	Not recorded	48 hours	General cell membrane	0 hour PMI controls were perfusion fixed, compared to immersion fixed brains after the PMI.	"The number of histamine-IR cell bodies found in rats RI and R2 was the same as in the perfusion-fixed controls. Most of the cell bodies were strongly immunoreactive, whereas some of the cells (about 20%) were moderately immunoreactive, while still clearly visible against the immunonegative background (data not shown). The pattern of histamine-IR fibers in the rats RI and R2 was similar, and like that in the perfusion-fixed controls."	No	NA	1	0	0	NA	0
Anderson 1996	https://pubmed.ncbi.nlm.nih.gov/8774439/	1996	Human	Room temperature	Ex situ, in a humified chamber	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for terminal deoxynucleotidyl transferase (tdt) 	Frontal cortex	Neuron	24 hours	General cell membrane		"At 24 hr PMD, a large increase in the number of TdT-positive cells and dense process staining was evident. Numerous large and small accumulations of TdT labeling were present in the neuropil. These areas could reflect TdT labeling attributable to cell lysis, caused by either postmortem necrosis or secondary necrosis in apoptotic cells. At this time point, the quality of cellular TdT labeling appeared more homogeneous and agranular or diffuse than that observed earlier, although what we have termed apoptotic-like nuclei based on morphological characteristics were still present. Many of the labeled pyramidal-type cells in layers III and V appeared to be increased in size." Also Figure 5. 	No	NA	1	2-3	2	NA	2
Ansari 1975	https://pubmed.ncbi.nlm.nih.gov/51045/	1975	Cow	23°C	Ex situ	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	Occipital lobe	Oligodendrocyte	24 hours	Myelin 		"Electron micrograph from unfrozen bovine brain incubated for 24 h at 23°C showing abundant dense-line material and mostly compact myelin lamellae. There is, however, spotty lamellar separation (arrow), a feature not seen in the unincubated material." Also Figure 5. 	No	NA	1	1	1	NA	1
Ansari 1976b	https://pubmed.ncbi.nlm.nih.gov/62823/	1976	Human	Room temperature	Ex situ 	Immersion fixation	Electron microscopy	No	Stained with osmium tetroxide, uranyl acetate, and lead citrate	White matter	Oligodendrocyte	2 hours	Myelin		"On electron microscopic examination, white matter that was incubated for 2 h at room temperature prior to fixation, showed sporadic areas of lamellar separation, a feature not seen in the unincubated material. This lamellar separation was similar to but not as extensive as that described earlier in white matter obtained at autopsy performed 8 h after death (2). No lamellar fragmentation or morphological alteration in dense-line material that could be attributed to incubation was seen." ... "Electron microscopic examination of the surgical material that was incubated for 2 h showed lamellar separation along the interperiod line but no accompanying lamellar fragmentation was detected. These findings are similar to those described in unincubated autopsy material (2). In this autopsy material that showed lamellar separation but no lamellar fragmentation, subsequent incubations did not result in any detectable loss of BP. These observations with surgical and autopsy material would lend support to the postulated location of BP along the cytoplasmic surface of myelin lamellae (9). BP located in this area would not be exposed to extracellular acid proteinases by lamellar separation alone. An actual break in the continuity of myelin lamellae would be necessary in order for the proteinases to gain access to BP in this location."	No	NA	1	1	1	NA	1
Arsénio-Nunes 1973	https://pubmed.ncbi.nlm.nih.gov/4272709/	1973	Cat	Room temperature	In situ	Perfusion fixation	Electron microscopy	No	Morphological staining with osmium and uranyl acetate	Sensorimotor cortex	Multiple or no clear focus	30 minutes	General cell membrane		"At the end of cerebral ischaemia of 30 min, the most preeminent finding was a considerable enlargement of both glial and neuronal processes in the molecular layer (Fig.2a). In spite of the swelling, the mitochondria, the myelin sheaths and the synapses were intact. An occasional swelling of some processes of the neuropil was also observed in the other areas of the cortex, but these alterations were much less pronounced than in the molecular layer". At 90 minutes PMI, severe swelling of astrocyte processes in the molecular and second layer. "In the animals without blood recirculation after ischaemia a severe swelling of cell processes in the molecular (Fig.6a) and the second layer was observed. In contrast to ischaemia of 30 min, the mitochondria were frequently damaged. They appeared to be swollen and in some of them, the intramitochondrial cristae were broken. In the other layers of the cortex, swelling of the perikarya of the astrocytes and their perivascular processes, and of the profiles in the neuropil was frequently encountered. The neurons, on the other hand, were relatively preserved; the only change being an enlargement of the endoplasmic reticulum. The capillaries including the basement membrane were generally intact, and pinocytic vesicles were less frequently encountered than at the end of 30 min of ischaemia." Also Figure 3a and Figure 6a. 	No	NA	1	1	1	NA	1
Arsénio-Nunes 1973	https://pubmed.ncbi.nlm.nih.gov/4272709/	1973	Cat	Room temperature	In situ	Perfusion fixation	Electron microscopy	No	Morphological staining with osmium and uranyl acetate	Sensorimotor cortex	Multiple or no clear focus	90 minutes	Capillaries		"The capillaries including the basement membrane were generally intact, and pinocytic vesicles were less frequently encountered than at the end of 30 min of ischaemia."	No	NA	1	1	1	NA	1
Arslan 2004	https://pubmed.ncbi.nlm.nih.gov/15559421/	2004	Multiple mammalian species	Room temperature	Ex situ	Immersion fixation	Light microscopy	No	Morphologically stained with hematoxylin and eosin	Not recorded	Multiple or no clear focus	168 hours	General cell membrane		"The degree of autolysis observed in the brain tissues that had been stored at room temperature for two, four or seven days was slight, moderate and severe; in the tissues stored for seven days the neurons and other structural components, such as glial cells and vessels, were completely lysed"	No	NA	3	3	3	NA	3
Averback 1980	https://pubmed.ncbi.nlm.nih.gov/7400879/	1980	Rat	Room temperature	In situ	Perfusion fixation	Light microscopy	No	Morphologically stained with thionin	Cerebellum	Granule cell	2 hours	Cell counts		Per Table, 2 hours is the first time point at which there appears to be a significant decrease in measured granule cell counts. "As depicted in the fig., measured cell densities have a clear relation with logarithm of time over the first 24 hr. The mean cellular sectional area shows no significant trend over time; likewise the thickness of the boundaries of the granule cell layer is not diminished after 21 hr (table)." ... "Within the 18-40ºC range, in-situ and in-vitro preparations of human and rat show no difference in effect or time trend (Averback, unpublished observations)"	No	NA	3	2	2	NA	2
Averback 1980	https://pubmed.ncbi.nlm.nih.gov/7400879/	1980	Rat	Room temperature	In situ	Perfusion fixation	Light microscopy	No	Morphologically stained with thionin	Cerebellum	Purkinje cell	24 hours	General cell membrane		"Purkinje cells show advanced degeneration after 24 hr, but serial measurements on all detected tangential patches reveal no evidence of disappearance."	No	NA	2	2	2	NA	2
Babb 1988	https://pubmed.ncbi.nlm.nih.gov/3209750/	1988	Rat	Room temperature	In situ	Immersion fixation	Light microscopy	Yes, immunostaining primarily	Immunostaining for GAD (Glutamate Decarboxylase)	Hippocampus	Neuron	4 hours	General cell membrane 		"GAD molecules apparently diffused into cell bodies, axons, and dendrites, where GAD is not so fully distributed". Also Figure 2. 	No	NA	2	1	1	NA	1
